Actual,Predicted,Error,Absolute_Error,Percentage_Error
15.55,21.002309606702987,-5.452309606702986,5.452309606702986,-35.06308428747901
15.55,20.99350281309681,-5.44350281309681,5.44350281309681,-35.00644895882193
15.55,20.984699544557554,-5.434699544557553,5.434699544557553,-34.94983629940548
15.55,20.975899799674238,-5.425899799674237,5.425899799674237,-34.893246300155866
20.84,22.381344144362963,-1.541344144362963,1.541344144362963,-7.3960851456956
21.46,22.371985369043685,-0.9119853690436841,0.9119853690436841,-4.249698830585666
20.71,22.362630339731265,-1.6526303397312638,1.6526303397312638,-7.979866440035073
19.68,22.353279054926297,-2.6732790549262972,2.6732790549262972,-13.5837350351946
19.5,21.71182493772045,-2.2118249377204506,2.2118249377204506,-11.342691988310003
19.95,21.70273414869778,-1.7527341486977797,1.7527341486977797,-8.78563483056531
19.34,21.69364699841595,-2.3536469984159503,2.3536469984159503,-12.169839702254139
18.31,21.6845634854185,-3.374563485418502,3.374563485418502,-18.430166496004926
17.05,22.889112724156096,-5.839112724156095,5.839112724156095,-34.246995449595865
17.41,22.87955070594269,-5.469550705942691,5.469550705942691,-31.41614420415101
16.95,22.869992515087525,-5.919992515087525,5.919992515087525,-34.92620952853998
15.98,22.860438150058627,-6.880438150058627,6.880438150058627,-43.0565591367874
28.52,24.219614359115674,4.3003856408843255,4.3003856408843255,15.078491026943638
29.9,24.20951978529783,5.69048021470217,5.69048021470217,19.031706403686186
29.63,24.19942925200253,5.430570747997468,5.430570747997468,18.327947175151767
28.75,24.1893427576125,4.560657242387499,4.560657242387499,15.863155625695649
24.77,27.815770399704732,-3.0457703997047325,3.0457703997047325,-12.296206700463191
23.93,27.80423640409021,-3.8742364040902117,3.8742364040902117,-16.189872144129595
24.77,27.792707025150968,-3.022707025150968,3.022707025150968,-12.203096589224739
23.93,27.7811822610391,-3.8511822610390993,3.8511822610390993,-16.09353222331425
6.07,8.385946126183121,-2.315946126183121,2.315946126183121,-38.15397242476312
6.05,8.382189243755342,-2.3321892437553418,2.3321892437553418,-38.54858254141061
6.01,8.378433865082794,-2.3684338650827943,2.3684338650827943,-39.408217389064795
6.04,8.374679989563573,-2.334679989563573,2.334679989563573,-38.65364221131743
6.37,8.90627659432906,-2.5362765943290606,2.5362765943290606,-39.81595909464774
6.4,8.902311440900561,-2.502311440900561,2.502311440900561,-39.09861626407127
6.37,8.898347874591256,-2.5283478745912555,2.5283478745912555,-39.691489397036975
6.4,8.894385894765872,-2.4943858947658715,2.4943858947658715,-38.97477960571674
6.85,9.49125027418978,-2.6412502741897796,2.6412502741897796,-38.558398163354454
6.79,9.487050975230394,-2.697050975230394,2.697050975230394,-39.72092747025617
6.77,9.48285335711088,-2.7128533571108804,2.7128533571108804,-40.07168917445909
6.81,9.47865741915845,-2.6686574191584507,2.6686574191584507,-39.18733361466154
7.18,10.070152693210037,-2.8901526932100374,2.8901526932100374,-40.25282302520944
7.1,10.06572167884379,-2.9657216788437903,2.9657216788437903,-41.770727871039306
7.1,10.061292438065394,-2.961292438065394,2.961292438065394,-41.70834419810414
7.1,10.056864970164938,-2.956864970164938,2.956864970164938,-41.64598549528082
10.85,10.726716820656478,0.12328317934352206,0.12328317934352206,1.1362505008619546
10.54,10.722023005481454,-0.18202300548145445,0.18202300548145445,-1.7269734865413136
10.77,10.717331069084711,0.05266893091528857,0.05266893091528857,0.4890337132338772
10.56,10.71264101071424,-0.1526410107142393,0.1526410107142393,-1.4454641166121145
8.6,11.422221373352329,-2.8222213733523294,2.8222213733523294,-32.81652759712011
8.49,11.41724917080992,-2.9272491708099206,2.9272491708099206,-34.478788819904835
8.45,11.412278958475012,-2.9622789584750127,2.9622789584750127,-35.05655572159779
8.5,11.407310735550986,-2.907310735550986,2.907310735550986,-34.203655712364544
24.58,23.582383981166988,0.9976160188330105,0.9976160188330105,4.058649385000043
24.63,23.572544469500272,1.0574555304997268,1.0574555304997268,4.2933639078348635
24.63,23.562708896263203,1.067291103736796,1.067291103736796,4.333297213710094
24.59,23.55287725987936,1.0371227401206404,1.0371227401206404,4.217660594227899
29.03,25.123129345359168,3.9068706546408336,3.9068706546408336,13.458045658425194
29.87,25.112673124507616,4.757326875492385,4.757326875492385,15.926772264788703
29.14,25.102221088933906,4.037778911066095,4.037778911066095,13.856482193088862
28.09,25.091773236962815,2.9982267630371844,2.9982267630371844,10.673644581834049
26.28,24.375099774161853,1.9049002258381478,1.9049002258381478,7.248478789338461
26.91,24.364942964697676,2.5450570353023245,2.5450570353023245,9.457662710153565
26.37,24.354790220666914,2.0152097793330874,2.0152097793330874,7.642054529135713
25.27,24.344641540442307,0.9253584595576925,0.9253584595576925,3.661885475099693
23.53,25.69044079698259,-2.160440796982588,2.160440796982588,-9.181643846079846
24.03,25.679757500203365,-1.6497575002033642,1.6497575002033642,-6.865407824400184
23.54,25.669078479592933,-2.129078479592934,2.129078479592934,-9.044513507191734
22.58,25.65840373343969,-3.0784037334396928,3.0784037334396928,-13.633320342957012
35.56,27.17696210600838,8.383037893991624,8.383037893991624,23.57434728344101
37.12,27.165683804132243,9.954316195867754,9.954316195867754,26.816584579385115
36.9,27.15441001658568,9.74558998341432,9.74558998341432,26.41081296318244
